FIELD	QMC	ST	DATE	TIME	var_field
52672019	7	80	30.05.2025	09:22:18	52672,019
52671836	8	80	30.05.2025	09:22:24	52671,836
52664116	8	80	30.05.2025	09:22:30	52664,116
52666011	8	80	30.05.2025	09:22:36	52666,011
52663522	7	80	30.05.2025	09:22:42	52663,522
52659264	8	80	30.05.2025	09:22:48	52659,264
52662368	7	80	30.05.2025	09:22:54	52662,368
52663533	7	80	30.05.2025	09:23:00	52663,533
52668202	7	80	30.05.2025	09:23:06	52668,202
52665282	8	80	30.05.2025	09:23:12	52665,282
52671264	7	80	30.05.2025	09:23:18	52671,264
52673589	7	80	30.05.2025	09:23:24	52673,589
52672558	7	80	30.05.2025	09:23:30	52672,558
52668504	7	80	30.05.2025	09:23:36	52668,504
52668108	8	80	30.05.2025	09:23:42	52668,108
52677164	8	80	30.05.2025	09:23:48	52677,164
52676505	7	80	30.05.2025	09:23:54	52676,505
52674393	7	80	30.05.2025	09:24:00	52674,393
52665233	7	80	30.05.2025	09:24:06	52665,233
52662285	7	80	30.05.2025	09:24:12	52662,285
52666920	8	80	30.05.2025	09:24:18	52666,92
52670536	8	80	30.05.2025	09:24:24	52670,536
52669635	7	80	30.05.2025	09:24:30	52669,635
52662131	7	80	30.05.2025	09:24:36	52662,131
52657021	7	80	30.05.2025	09:24:42	52657,021
52657572	7	80	30.05.2025	09:24:48	52657,572
52660445	7	80	30.05.2025	09:24:54	52660,445
52663119	7	80	30.05.2025	09:25:00	52663,119
52669261	7	80	30.05.2025	09:25:06	52669,261
52671068	8	80	30.05.2025	09:25:12	52671,068
52668343	8	80	30.05.2025	09:25:18	52668,343
52673305	7	80	30.05.2025	09:25:24	52673,305
52668875	8	80	30.05.2025	09:25:30	52668,875
52668124	7	80	30.05.2025	09:25:36	52668,124
52663070	7	80	30.05.2025	09:25:42	52663,07
52664705	7	80	30.05.2025	09:25:48	52664,705
52665168	7	80	30.05.2025	09:25:54	52665,168
52666294	7	80	30.05.2025	09:26:00	52666,294
52665132	7	80	30.05.2025	09:26:06	52665,132
52662132	7	80	30.05.2025	09:26:12	52662,132
52660559	7	80	30.05.2025	09:26:18	52660,559
52660516	7	80	30.05.2025	09:26:24	52660,516
52665989	7	80	30.05.2025	09:26:30	52665,989
52670603	7	80	30.05.2025	09:26:36	52670,603
